drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.11,0.09,0.11,0.11,110,90,90,55.110594049386
0.11,0.09,0.11,0.11,110,90,110,55.1397950322713
0.11,0.09,0.11,0.11,110,110,90,55.1343367896082
0.11,0.09,0.11,0.11,110,110,110,55.1633882582682
0.11,0.11,0.09,0.09,90,90,90,53.1684516068772
0.11,0.11,0.09,0.09,90,90,110,53.2042422869877
0.11,0.11,0.09,0.09,90,110,90,53.160263443204
0.11,0.11,0.09,0.09,90,110,110,53.1952606029598
0.11,0.11,0.09,0.09,110,90,90,52.9620936606687
0.11,0.11,0.09,0.09,110,90,110,52.9974741712739
0.11,0.11,0.09,0.09,110,110,90,52.9525528544716
0.11,0.11,0.09,0.09,110,110,110,52.9871086140358
0.11,0.11,0.09,0.11,90,90,90,55.3743545162949
0.11,0.11,0.09,0.11,90,90,110,55.4118820680404
0.11,0.11,0.09,0.11,90,110,90,55.3920538429196
0.11,0.11,0.09,0.11,90,110,110,55.4293314398904
0.11,0.11,0.09,0.11,110,90,90,55.1807864676824
0.11,0.11,0.09,0.11,110,90,110,55.2181393288357
0.11,0.11,0.09,0.11,110,110,90,55.1979812176203
0.11,0.11,0.09,0.11,110,110,110,55.2350742073486
0.11,0.11,0.11,0.09,90,90,90,56.780019221139
0.11,0.11,0.11,0.09,90,90,110,56.7848345008432
0.11,0.11,0.11,0.09,90,110,90,56.6703719813904
0.11,0.11,0.11,0.09,90,110,110,56.671482638421
0.11,0.11,0.11,0.09,110,90,90,56.5322711789966
0.11,0.11,0.11,0.09,110,90,110,56.5354719245229
0.11,0.11,0.11,0.09,110,110,90,56.4165047990796
0.11,0.11,0.11,0.09,110,110,110,56.4157741765168
0.11,0.11,0.11,0.11,90,90,90,59.2099026364803
0.11,0.11,0.11,0.11,90,90,110,59.2324892464524
0.11,0.11,0.11,0.11,90,110,90,59.2013387236071
0.11,0.11,0.11,0.11,90,110,110,59.2231712266712
0.11,0.11,0.11,0.11,110,90,90,59.0040353765775
0.11,0.11,0.11,0.11,110,90,110,59.0261567481516
0.11,0.11,0.11,0.11,110,110,90,58.9940506340803
0.11,0.11,0.11,0.11,110,110,110,59.0153835161489
